start	end	rec
21700000	21800000	3.1528595848628182e-09
21800000	21900000	7.293758647766154e-10
21900000	22000000	4.3684209488857935e-09
22000000	22100000	7.619600932285764e-09
22100000	22200000	6.133650227540942e-09
22200000	22300000	7.178541976714718e-09
22300000	22400000	7.0703759244924636e-09
22400000	22500000	2.684006482975764e-09
22500000	22600000	6.1368174930042965e-09
22600000	22700000	7.272485430216385e-09
22700000	22800000	9.222663479046661e-09
22800000	22900000	8.981855447488933e-09
22900000	23000000	5.2584410785369675e-09
23000000	23100000	4.126746278583618e-09
23100000	23200000	4.4555707807039476e-09
23200000	23300000	2.281472549619287e-09
23300000	23400000	5.202495805143831e-09
23400000	23500000	8.656587608857897e-09
23500000	23600000	8.463392509129206e-09
23600000	23700000	4.121104345226419e-09
23700000	23800000	4.656096484916792e-09
23800000	23900000	3.4974322294921986e-09
23900000	24000000	4.042525892128811e-09
24000000	24100000	2.3343286889802434e-09
24100000	24200000	1.7575965770212584e-09
24200000	24300000	3.6539566844830713e-09
24300000	24400000	2.8877888217339735e-10
24400000	24500000	1.8098856594778254e-09
24500000	24600000	4.091752611686642e-09
24600000	24700000	4.5855091318722785e-09
24700000	24800000	5.173211748731347e-09
24800000	24900000	8.022417329416946e-09
24900000	25000000	7.6708092405497e-09
25000000	25100000	6.6631908247510905e-09
25100000	25200000	2.9160148013817527e-09
25200000	25300000	7.850682974145866e-09
25300000	25400000	8.595717457640748e-09
25400000	25500000	7.941026742887847e-09
25500000	25600000	6.629368163505524e-09
25600000	25700000	1.2809961634381047e-09
25700000	25800000	6.754777455005809e-09
25800000	25900000	5.862136189575277e-09
25900000	26000000	7.026561092091117e-09
26000000	26100000	6.088458978147602e-09
26100000	26200000	6.118731717640318e-09
26200000	26300000	3.464580804208115e-09
26300000	26400000	7.941414650919102e-09
26400000	26500000	4.485263927097269e-09
26500000	26600000	6.747716407567814e-09
26600000	26700000	6.151161713330036e-09
26700000	26800000	7.722578851382741e-09
26800000	26900000	8.841864998404847e-09
26900000	27000000	7.362589513870258e-09
27000000	27100000	7.109096123996216e-09
27100000	27200000	6.940049605217282e-09
27200000	27300000	8.896068001479415e-09
27300000	27400000	8.34758908688174e-09
27400000	27500000	8.634327604560829e-09
27500000	27600000	7.520470695030976e-09
27600000	27700000	7.735391722994453e-09
27700000	27800000	8.41980424826609e-09
27800000	27900000	5.049851309046168e-09
27900000	28000000	1.33259058632406e-09
28000000	28100000	4.6286803974261363e-10
28100000	28200000	8.929635621667431e-11
28200000	28300000	1.0832808439101378e-09
28300000	28400000	2.453589039006734e-10
28400000	28500000	3.3389674924188763e-10
28500000	28600000	2.453107804651532e-10
28600000	28700000	1.7077803152949755e-10
28700000	28800000	1.0420266233958012e-10
28800000	28900000	2.7743005856817116e-09
28900000	29000000	2.1073873054043896e-09
29000000	29100000	2.3441723812997857e-09
29100000	29200000	3.116046975641203e-09
29200000	29300000	6.313831770747859e-09
