start	end	rec
21700000	21800000	4.895918e-09
21800000	21900000	4.6005141254155917e-10
21900000	22000000	1.0667900946588701e-08
22000000	22100000	4.198692294885226e-08
22100000	22200000	1.0949662097686308e-08
22200000	22300000	1.9412360943299133e-08
22300000	22400000	3.1714267678344103e-08
22400000	22500000	9.664315201219879e-09
22500000	22600000	1.6934788512475127e-08
22600000	22700000	1.538410195286039e-08
22700000	22800000	4.160150576730701e-08
22800000	22900000	4.512550725709038e-08
22900000	23000000	3.668271171196169e-08
23000000	23100000	6.1533088095757825e-09
23100000	23200000	4.404391877299999e-09
23200000	23300000	7.3167427066000015e-09
23300000	23400000	2.5104713336700004e-08
23400000	23500000	2.1901395438300003e-08
23500000	23600000	6.854329650290001e-08
23600000	23700000	1.39688157018e-08
23700000	23800000	1.08802234364e-08
23800000	23900000	2.9196205440699994e-08
23900000	24000000	2.917208501778543e-09
24000000	24100000	2.215838613109718e-08
24100000	24200000	1.3302430409999998e-09
24200000	24300000	8.731698958999999e-09
24300000	24400000	0.0
24400000	24500000	3.5732491119999997e-09
24500000	24600000	8.38392426949611e-09
24600000	24700000	1.0324697655399999e-08
24700000	24800000	8.866290588699998e-09
24800000	24900000	4.07557328282e-08
24900000	25000000	1.2429016585100003e-08
25000000	25100000	3.45562733091e-08
25100000	25200000	3.876080094e-09
25200000	25300000	2.481796427999999e-08
25300000	25400000	2.6546326259300002e-08
25400000	25500000	1.5654179849899998e-08
25500000	25600000	4.4145384324199994e-08
25600000	25700000	1.3570604968e-09
25700000	25800000	2.3745750520599998e-08
25800000	25900000	6.685640526780001e-08
25900000	26000000	2.6663624169899995e-08
26000000	26100000	4.7242735428399996e-08
26100000	26200000	9.839092600399999e-09
26200000	26300000	9.6431917284e-09
26300000	26400000	4.5645158520799995e-08
26400000	26500000	1.3358542150400001e-08
26500000	26600000	1.6396498077992203e-08
26600000	26700000	1.1874969397660238e-08
26700000	26800000	4.8780222302000004e-08
26800000	26900000	5.163313811900001e-08
26900000	27000000	4.907702980149999e-08
27000000	27100000	4.376506173661865e-08
27100000	27200000	3.419228881187173e-08
27200000	27300000	6.866747209363295e-08
27300000	27400000	2.8965211476000004e-08
27400000	27500000	9.065215814109999e-08
27500000	27600000	2.7235069686200003e-08
27600000	27700000	2.608579811394692e-08
27700000	27800000	5.8195347218645357e-08
27800000	27900000	1.4971515135999998e-08
27900000	28000000	1.542190241e-09
28000000	28100000	2.1494075899999996e-10
28100000	28200000	0.0
28200000	28300000	8.10726e-10
28300000	28400000	0.0
28400000	28500000	0.0
28500000	28600000	0.0
28600000	28700000	1.79879663e-10
28700000	28800000	8.256063369999999e-10
28800000	28900000	2.2439689999999997e-09
28900000	29000000	3.047282e-09
29000000	29100000	1.2061823000000002e-08
29100000	29200000	4.054047e-09
29200000	29300000	2.015867408860886e-08
29300000	29400000	1.7676105517999996e-09
29400000	29500000	8.2772891393e-09
29500000	29600000	7.999353089e-10
29600000	29700000	0.0
29700000	29800000	3.497129e-09
29800000	29900000	1.6813829999999995e-09
29900000	30000000	0.0
30000000	30100000	5.241557605999999e-10
30100000	30200000	1.9320169035000005e-09
30200000	30300000	9.262433335899999e-09
30300000	30400000	2.430289e-09
30400000	30500000	6.223477365926815e-09
30500000	30600000	7.3223091401e-09
30600000	30700000	8.753267018300001e-09
30700000	30800000	2.7484938416e-09
30800000	30900000	7.947499e-09
30900000	31000000	1.4011664000000003e-12
31000000	31100000	8.2532588336e-09
31100000	31200000	5.322392e-09
31200000	31300000	0.0
31300000	31400000	0.0
31400000	31500000	0.0
31500000	31600000	2.33457864e-11
31600000	31700000	1.9925162136e-09
31700000	31800000	0.0
31800000	31900000	1.693250152e-09
31900000	32000000	6.161689019817182e-09
32000000	32100000	8.71855e-10
32100000	32200000	5.942601875e-09
32200000	32300000	2.1994558125000005e-08
32300000	32400000	6.1398967916999995e-09
32400000	32500000	2.15657107098e-08
32500000	32600000	4.7240052330198915e-08
32600000	32700000	2.3357487408e-08
32700000	32800000	9.1474949576e-09
32800000	32900000	1.0713129694242738e-08
32900000	33000000	0.0
33000000	33100000	1.159986905380578e-08
33100000	33200000	3.4302521021600004e-08
33200000	33300000	7.4732926416e-09
33300000	33400000	1.2900564309600001e-08
33400000	33500000	2.01951519656e-08
33500000	33600000	1.1706181496800001e-08
33600000	33700000	1.8986225526277215e-08
33700000	33800000	1.0329978824882488e-08
33800000	33900000	1.1760479529252924e-08
33900000	34000000	2.379797702286885e-08
34000000	34100000	1.15904271125e-08
34100000	34200000	1.1039708200400003e-08
34200000	34300000	2.8075998645596163e-09
34300000	34400000	1.4177268364000002e-09
34400000	34500000	8.179214387449224e-09
34500000	34600000	2.584216466399999e-09
34600000	34700000	4.135444533599999e-09
34700000	34800000	1.2641999999999996e-09
34800000	34900000	2.727741713248157e-09
34900000	35000000	1.2734989501967134e-08
35000000	35100000	1.1388001122906424e-08
35100000	35200000	1.90699638765e-08
35200000	35300000	7.920186e-09
35300000	35400000	9.503657781000001e-09
35400000	35500000	2.2638808148000002e-08
35500000	35600000	2.4563941813999998e-08
35600000	35700000	1.6709872759500004e-08
35700000	35800000	1.59042634975e-08
35800000	35900000	0.0
35900000	36000000	8.362837984000001e-10
36000000	36100000	8.325612201599999e-09
36100000	36200000	2.1480024743566968e-08
36200000	36300000	5.380002425221694e-08
36300000	36400000	1.0639745270989371e-08
36400000	36500000	5.33368643064927e-09
36500000	36600000	4.6567809342499995e-08
36600000	36700000	3.988403290599026e-08
36700000	36800000	9.81027469369779e-09
36800000	36900000	6.992290522880996e-08
36900000	37000000	4.443037227490442e-08
37000000	37100000	1.0743558874020537e-08
37100000	37200000	6.17980731368e-08
37200000	37300000	3.9854913565636476e-08
37300000	37400000	2.988786225350104e-08
37400000	37500000	3.9452335870674356e-09
37500000	37600000	3.50072559455e-08
37600000	37700000	4.52309897e-09
37700000	37800000	1.5912161509999998e-09
37800000	37900000	3.542535879e-09
37900000	38000000	0.0
38000000	38100000	3.14512422e-10
38100000	38200000	9.290520578000001e-09
38200000	38300000	2.0523575015082824e-08
38300000	38400000	1.29304031567e-08
38400000	38500000	1.6000800959740228e-08
38500000	38600000	8.76386e-14
38600000	38700000	0.0
38700000	38800000	8.0350415057e-09
38800000	38900000	1.8617863661000002e-09
38900000	39000000	4.10090223022e-08
39000000	39100000	1.28160903187e-08
39100000	39200000	2.43398035073e-08
39200000	39300000	1.3935509e-08
39300000	39400000	8.010203999999999e-09
39400000	39500000	1.5952140000000004e-08
39500000	39600000	9.413384958500001e-09
39600000	39700000	1.29067761214e-08
39700000	39800000	1.4986644920100004e-08
39800000	39900000	1.1707199999999999e-14
39900000	40000000	1.2038280618000001e-08
40000000	40100000	2.96414296e-10
40100000	40200000	6.3819643788e-09
40200000	40300000	1.8405295664e-09
40300000	40400000	2.6601345796e-09
40400000	40500000	7.15919854e-10
40500000	40600000	0.0
40600000	40700000	7.8867820076e-09
40700000	40800000	1.978307748e-09
40800000	40900000	3.6236876200000005e-09
40900000	41000000	6.439851724000003e-10
41000000	41100000	1.3038324519999999e-09
41100000	41200000	0.0
41200000	41300000	1.0439890000000001e-09
41300000	41400000	1.551752608e-10
41400000	41500000	4.1251939564e-09
41500000	41600000	2.5255628267999994e-09
41600000	41700000	3.6067695599999996e-10
41700000	41800000	0.0
41800000	41900000	7.587120243999999e-10
41900000	42000000	3.0129539756000005e-09
42000000	42100000	6.293195199999939e-11
42100000	42200000	7.454316627912428e-10
42200000	42300000	5.113609374e-09
42300000	42400000	6.139209626000001e-09
42400000	42500000	3.958415150480001e-08
42500000	42600000	3.9582354952e-09
42600000	42700000	8.7204333024e-09
42700000	42800000	7.018384110400001e-09
42800000	42900000	2.2137758720000002e-10
42900000	43000000	6.641169360000001e-10
43000000	43100000	1.07706286776e-08
43100000	43200000	3.10284203864e-08
43200000	43300000	2.4803511022400003e-08
43300000	43400000	1.94197507664e-08
43400000	43500000	1.0739410877928654e-08
43500000	43600000	3.3151154618010237e-09
43600000	43700000	0.0
43700000	43800000	0.0
43800000	43900000	4.678495382e-09
43900000	44000000	4.3321434199e-08
44000000	44100000	3.7998243535499995e-08
44100000	44200000	6.29913022365e-08
44200000	44300000	2.6289403877000008e-08
44300000	44400000	4.363527912475078e-08
44400000	44500000	3.2320920010400006e-08
44500000	44600000	3.34127739674e-08
44600000	44700000	3.62506204434e-08
44700000	44800000	6.294123260420001e-08
44800000	44900000	1.6923618081200003e-08
44900000	45000000	5.4525106513e-09
45000000	45100000	6.099538489910001e-08
45100000	45200000	1.3770750196000002e-08
45200000	45300000	2.7214602874600003e-08
45300000	45400000	2.866412756e-09
45400000	45500000	2.7766194690516384e-08
45500000	45600000	4.2759708251199995e-08
45600000	45700000	1.21576038944e-08
