start	end	rec
21700000	21800000	3.6475605059119913e-09
21800000	21900000	1.0878970640459003e-09
21900000	22000000	3.574447169917415e-09
22000000	22100000	2.0612998807100075e-08
22100000	22200000	1.0002927854179412e-08
22200000	22300000	1.907627031035803e-08
22300000	22400000	1.946854942788284e-08
22400000	22500000	7.875721020845531e-09
22500000	22600000	1.5207299625008636e-08
22600000	22700000	1.5078775802787917e-08
22700000	22800000	3.276340580359497e-08
22800000	22900000	3.7774795482339004e-08
22900000	23000000	3.275423887356806e-08
23000000	23100000	4.018226953969248e-09
23100000	23200000	2.893979164133813e-09
23200000	23300000	4.810852841860431e-09
23300000	23400000	3.267878475032357e-08
23400000	23500000	2.371488704233976e-08
23500000	23600000	5.1168161308277867e-08
23600000	23700000	2.1235216545215475e-08
23700000	23800000	8.566322247938163e-09
23800000	23900000	2.5152294362425963e-08
23900000	24000000	5.339796773071799e-09
24000000	24100000	2.3503067062894817e-08
24100000	24200000	6.502037091127746e-10
24200000	24300000	1.1933581972349192e-08
24300000	24400000	2.5991386754717054e-10
24400000	24500000	2.934576145825793e-09
24500000	24600000	1.036762822807347e-08
24600000	24700000	8.582223380499117e-09
24700000	24800000	1.0546663655715285e-08
24800000	24900000	3.9632493150583514e-08
24900000	25000000	1.5459526164725745e-08
25000000	25100000	2.758698222135446e-08
25100000	25200000	1.5660049606108128e-09
25200000	25300000	2.2714802508257185e-08
25300000	25400000	2.426732905114571e-08
25400000	25500000	2.1327666767786735e-08
25500000	25600000	4.0873127752548065e-08
25600000	25700000	1.9722931226054145e-09
25700000	25800000	1.8846418228306974e-08
25800000	25900000	9.444049006622838e-08
25900000	26000000	2.993584334332133e-08
26000000	26100000	5.840023922374123e-08
26100000	26200000	9.793464125768383e-09
26200000	26300000	8.688939157403413e-09
26300000	26400000	4.700675706992739e-08
26400000	26500000	2.8833577946978682e-08
26500000	26600000	1.5297519596192846e-08
26600000	26700000	8.64323951297574e-09
26700000	26800000	5.6126556651078546e-08
26800000	26900000	5.2928542489373176e-08
26900000	27000000	4.444485393834758e-08
27000000	27100000	4.050203355028618e-08
27100000	27200000	4.398267995987932e-08
27200000	27300000	6.39720327372577e-08
27300000	27400000	3.984660684463314e-08
27400000	27500000	8.610589303282378e-08
27500000	27600000	2.3921655176577564e-08
27600000	27700000	2.6158376554579545e-08
27700000	27800000	6.147443599946166e-08
27800000	27900000	2.4434338962639734e-08
27900000	28000000	1.0870047424643397e-09
28000000	28100000	4.640662233658996e-10
28100000	28200000	3.2973046825691076e-10
28200000	28300000	1.7738948158469877e-09
28300000	28400000	3.3992947121782905e-11
28400000	28500000	3.399294712178292e-11
28500000	28600000	3.3807469728531567e-11
28600000	28700000	3.851118929552864e-11
28700000	28800000	8.314744471648576e-10
28800000	28900000	3.4004073486898032e-09
28900000	29000000	1.9126779068099466e-09
29000000	29100000	6.84742199639614e-09
29100000	29200000	2.9370713058756943e-09
29200000	29300000	2.3496110194937614e-08
29300000	29400000	1.2397475257818803e-09
29400000	29500000	6.4124006347186316e-09
29500000	29600000	1.2241406053088851e-09
29600000	29700000	1.42082080056986e-10
29700000	29800000	3.038218652643254e-09
29800000	29900000	3.472269168680153e-09
29900000	30000000	6.182336189048837e-11
30000000	30100000	5.594683597927513e-10
30100000	30200000	1.7165007250973257e-09
30200000	30300000	1.1168480841011782e-08
30300000	30400000	1.3951430951639526e-09
30400000	30500000	4.6212974893798176e-09
30500000	30600000	8.061025519571932e-09
30600000	30700000	4.531928204984716e-09
30700000	30800000	1.1573380738591174e-09
30800000	30900000	7.178512261336523e-09
30900000	31000000	8.349916120080318e-11
31000000	31100000	7.092685675159061e-09
31100000	31200000	2.5928810358631377e-09
31200000	31300000	1.1319726567958226e-10
31300000	31400000	1.1319726567958228e-10
31400000	31500000	1.1319726567958223e-10
31500000	31600000	1.1489098848526543e-10
31600000	31700000	1.2519727517730627e-09
31700000	31800000	1.206638081110073e-10
31800000	31900000	6.567854515683631e-10
31900000	32000000	4.9188126209293965e-09
32000000	32100000	5.109807955596461e-10
32100000	32200000	3.053684300654422e-09
32200000	32300000	1.991605120196438e-08
32300000	32400000	4.209915617798775e-09
32400000	32500000	2.305646761388764e-08
32500000	32600000	2.5352328446028836e-08
32600000	32700000	2.6324857061914892e-08
32700000	32800000	1.005404536480319e-08
32800000	32900000	1.3119442198548477e-08
32900000	33000000	7.726631662854303e-10
33000000	33100000	9.26969398384665e-09
33100000	33200000	2.801223694345173e-08
33200000	33300000	6.7679890325521665e-09
33300000	33400000	1.099082649207467e-08
33400000	33500000	1.6602007318732745e-08
33500000	33600000	1.0299913433584977e-08
33600000	33700000	1.359502122068854e-08
33700000	33800000	5.904762072411124e-09
33800000	33900000	1.5402499027790064e-08
33900000	34000000	1.3485441525039991e-08
34000000	34100000	1.0045782001659102e-08
34100000	34200000	1.321387888523115e-08
34200000	34300000	3.387804767066346e-09
34300000	34400000	1.3372643124073917e-09
34400000	34500000	1.0802731016923274e-08
34500000	34600000	1.1109039217254407e-09
34600000	34700000	3.2439790697278443e-09
34700000	34800000	2.482274704491718e-10
34800000	34900000	3.775780048523022e-10
34900000	35000000	1.3060040955112163e-08
35000000	35100000	9.610983682331762e-09
35100000	35200000	1.5096826132455763e-08
35200000	35300000	8.724307874629297e-09
35300000	35400000	1.1186631245260765e-08
35400000	35500000	2.193623548153894e-08
35500000	35600000	3.0797239077004766e-08
35600000	35700000	2.2062843249060208e-08
35700000	35800000	1.6626747134501e-08
35800000	35900000	3.578168917631637e-10
35900000	36000000	4.4446699694923273e-10
36000000	36100000	7.557117407393385e-09
36100000	36200000	1.16989019644285e-08
36200000	36300000	4.6545349740887284e-08
36300000	36400000	1.5440463355118467e-08
36400000	36500000	3.1867236818682372e-09
36500000	36600000	4.1432843291535126e-08
36600000	36700000	4.5200817691768824e-08
36700000	36800000	8.438598479285625e-09
36800000	36900000	6.964116439585208e-08
36900000	37000000	3.631504568100451e-08
37000000	37100000	1.1843732148780383e-08
37100000	37200000	8.116575185146162e-08
37200000	37300000	5.122070354386161e-08
37300000	37400000	3.226158518316735e-08
37400000	37500000	6.151982598628188e-09
37500000	37600000	4.664170948287304e-08
37600000	37700000	5.085191777790535e-09
37700000	37800000	9.637176796613728e-10
37800000	37900000	4.691144897276303e-09
37900000	38000000	8.893707373238204e-12
38000000	38100000	8.928247806049442e-12
38100000	38200000	1.4550806881640713e-08
38200000	38300000	1.7475606157443222e-08
38300000	38400000	1.232408913068321e-08
38400000	38500000	1.8315917729164438e-08
38500000	38600000	1.7863047109766806e-10
38600000	38700000	1.6591506207195808e-10
38700000	38800000	5.321819718973567e-09
38800000	38900000	5.402760670672867e-10
38900000	39000000	3.42766608417879e-08
39000000	39100000	1.1935227862322193e-08
39100000	39200000	3.304687835490684e-08
39200000	39300000	1.928832345420225e-08
39300000	39400000	9.080138648916529e-09
39400000	39500000	1.219788906372993e-08
39500000	39600000	5.757555029301723e-09
39600000	39700000	8.394396617110384e-09
39700000	39800000	1.8289318915270876e-08
39800000	39900000	2.0122376161035343e-11
39900000	40000000	1.0106609220375952e-08
40000000	40100000	7.498948653147846e-10
40100000	40200000	6.688376101950337e-09
40200000	40300000	1.206361820386497e-09
40300000	40400000	2.1716701347113327e-09
40400000	40500000	5.486081227550903e-10
40500000	40600000	4.984658715072238e-11
40600000	40700000	6.7221641082984065e-09
40700000	40800000	1.7809154798147676e-09
40800000	40900000	3.4782492964709297e-09
40900000	41000000	6.351457593607146e-10
41000000	41100000	7.446449026243795e-10
41100000	41200000	1.4230367582397487e-10
41200000	41300000	1.2686447151264398e-09
41300000	41400000	2.950385545791762e-10
41400000	41500000	2.8658762474239516e-09
41500000	41600000	2.3393628713471123e-09
41600000	41700000	5.687096275250697e-10
41700000	41800000	2.7865548723599684e-10
41800000	41900000	3.4725082069210005e-10
41900000	42000000	2.8853436386258995e-09
42000000	42100000	9.034709781981628e-12
42100000	42200000	1.0205280054268468e-09
42200000	42300000	2.099278327140223e-09
42300000	42400000	5.703665605606374e-09
42400000	42500000	2.8586015437422498e-08
42500000	42600000	3.724834894029402e-09
42600000	42700000	7.298335259527987e-09
42700000	42800000	4.880443994289267e-09
42800000	42900000	5.162293636939422e-10
42900000	43000000	1.0751276945253035e-11
43000000	43100000	7.466539664548642e-09
43100000	43200000	3.010923527727671e-08
43200000	43300000	2.619986353535035e-08
43300000	43400000	2.0340972055360073e-08
43400000	43500000	1.511715198408557e-08
43500000	43600000	3.6842226479740977e-09
43600000	43700000	2.0747577887511748e-11
43700000	43800000	2.6278147554969614e-11
43800000	43900000	7.823875162398474e-10
43900000	44000000	5.5282588870995854e-08
44000000	44100000	4.5343436716075266e-08
44100000	44200000	6.352110386120395e-08
44200000	44300000	1.8629381106997543e-08
44300000	44400000	3.9461990369302384e-08
44400000	44500000	2.1142019856311983e-08
44500000	44600000	3.176708290636857e-08
44600000	44700000	2.58316569217614e-08
44700000	44800000	5.701548402064244e-08
44800000	44900000	2.1309053171184286e-08
44900000	45000000	2.6852853484123576e-09
45000000	45100000	6.016939962124763e-08
45100000	45200000	1.6381437498341965e-08
45200000	45300000	2.8471233244713197e-08
45300000	45400000	6.39212259192164e-09
45400000	45500000	2.4715849732236477e-08
45500000	45600000	3.3572198675143335e-08
45600000	45700000	1.1702012926390839e-08
