chrom	start	end	nSites	recombRate
b'22'	21492000	22089000	694	4.476191950077974e-09
b'22'	22089000	22686000	1166	7.096157827660018e-09
b'22'	22686000	23283000	1026	7.144557092628059e-09
b'22'	23283000	23880000	1046	8.536985569786766e-09
b'22'	23880000	24477000	1116	1.788523665564418e-09
b'22'	24477000	25074000	1028	8.641644375930647e-09
b'22'	25074000	25671000	1110	8.148113688947533e-09
b'22'	25671000	26268000	1002	6.0906926917905064e-09
b'22'	26268000	26865000	1117	7.95272632680414e-09
b'22'	26865000	27462000	1086	8.968985231660044e-09
b'22'	27462000	28059000	1047	8.11620205152943e-09
b'22'	28059000	28656000	1388	1.0561578180098357e-09
b'22'	28656000	29253000	1244	1.7379564294696268e-09
b'22'	29253000	29850000	1009	2.0227439474698998e-09
b'22'	29850000	30447000	888	2.4218356718181003e-09
b'22'	30447000	31044000	1075	3.717879190602802e-09
b'22'	31044000	31641000	1229	1.6859120041309874e-09
b'22'	31641000	32238000	1204	1.167806950164158e-09
b'22'	32238000	32835000	1146	6.58364565589454e-09
b'22'	32835000	33432000	1066	5.667460539902272e-09
b'22'	33432000	34029000	1390	6.401661913329615e-09
b'22'	34029000	34626000	1095	3.2576342826094534e-09
b'22'	34626000	35223000	985	3.264202233990344e-09
b'22'	35223000	35820000	1031	7.990888487346598e-09
b'22'	35820000	36417000	1036	2.9158044408648832e-09
b'22'	36417000	37014000	1175	7.488324299653413e-09
b'22'	37014000	37611000	973	8.148673978300832e-09
b'22'	37611000	38208000	1068	1.2641974320314788e-09
b'22'	38208000	38805000	1246	3.225055855982541e-09
b'22'	38805000	39402000	942	8.738029679522982e-09
b'22'	39402000	39999000	1062	4.524876796911398e-09
b'22'	39999000	40596000	1678	2.1216776527911648e-09
b'22'	40596000	41193000	1340	2.1325275197565537e-09
b'22'	41193000	41790000	1230	8.831778873784042e-10
b'22'	41790000	42387000	1194	1.914435147898768e-09
b'22'	42387000	42984000	1065	3.1824918164851153e-09
b'22'	42984000	43581000	1009	8.023826804084916e-09
b'22'	43581000	44178000	889	6.558097427995448e-09
b'22'	44178000	44775000	1083	8.265128894858895e-09
b'22'	44775000	45372000	948	9.040656354844089e-09
b'22'	45372000	45969000	1009	2.965548676455507e-09
b'22'	45969000	46566000	1045	9.482625678548356e-11
b'22'	46566000	47163000	1002	7.045142599782832e-11
b'22'	47163000	47760000	1089	3.538587389596798e-11
b'22'	47760000	48357000	1022	6.257250800008525e-11
b'22'	48357000	48954000	1029	7.379417510934469e-11
b'22'	48954000	49551000	1094	0
b'22'	49551000	50148000	973	1.073100421175777e-10
b'22'	50148000	50745000	1001	8.745342886287018e-11
b'22'	50745000	50818468	123	5.557500366292705e-10
