chrom	start	end	nSites	recombRate
b'22'	20670000	22048000	238	3.4261940377143063e-09
b'22'	22048000	23426000	1364	8.431592484250114e-09
b'22'	23426000	24804000	1156	7.002956990573846e-09
b'22'	24804000	26182000	1330	8.679070876207006e-09
b'22'	26182000	27560000	1249	8.271261353313608e-09
b'22'	27560000	28938000	671	8.857758301526105e-09
b'22'	28938000	30316000	1726	3.324993628823257e-09
b'22'	30316000	31694000	1643	2.8098231032900177e-09
b'22'	31694000	33072000	1702	4.485040370609649e-09
b'22'	33072000	34450000	1356	7.99257625977314e-09
b'22'	34450000	35828000	1150	7.265163432241017e-09
b'22'	35828000	37206000	1263	7.531327456869506e-09
b'22'	37206000	38584000	947	5.118553498906106e-09
b'22'	38584000	39962000	1254	6.585246433301347e-09
b'22'	39962000	41340000	827	1.621028218578e-09
b'22'	41340000	42718000	860	2.4296726457884707e-09
b'22'	42718000	44096000	1745	6.670882155853823e-09
b'22'	44096000	45474000	1283	8.771391579155016e-09
b'22'	45474000	46852000	511	2.0010466300674482e-09
b'22'	46852000	48230000	418	6.675897071570691e-11
b'22'	48230000	49608000	379	2.5060568401080897e-10
b'22'	49608000	50818468	358	9.719341888996259e-11
