chrom	start	end	nSites	recombRate
b'22'	21730000	21771000	966	7.689901426494679e-09
b'22'	21771000	21812000	1033	0
b'22'	21812000	21853000	1011	0
b'22'	21853000	21894000	1116	9.791230375970773e-10
b'22'	21894000	21935000	1003	5.465590322696896e-09
b'22'	21935000	21976000	715	8.017647028572735e-10
b'22'	21976000	22017000	976	8.861420032376654e-09
b'22'	22017000	22058000	1148	8.964621326721628e-09
b'22'	22058000	22099000	1052	5.765377749844124e-09
b'22'	22099000	22140000	1026	7.385990538977473e-09
b'22'	22140000	22181000	884	3.933461738880292e-09
b'22'	22181000	22222000	1060	8.244919468468593e-09
b'22'	22222000	22263000	1176	6.767915779474191e-09
b'22'	22263000	22304000	1223	6.999497902884349e-09
b'22'	22304000	22345000	1169	4.492030567163216e-09
b'22'	22345000	22386000	1048	8.971473910617487e-09
b'22'	22386000	22427000	1080	9.073994089192863e-09
b'22'	22427000	22468000	1251	0
b'22'	22468000	22509000	1608	7.313377465427839e-10
b'22'	22509000	22550000	1050	6.074828010721178e-09
b'22'	22550000	22591000	1083	7.619419407856191e-09
b'22'	22591000	22632000	976	5.070618379985822e-09
b'22'	22632000	22673000	1106	7.907187886155746e-09
b'22'	22673000	22714000	1154	8.91829820480395e-09
b'22'	22714000	22755000	1095	9.339589539228077e-09
b'22'	22755000	22796000	1077	9.227333858463929e-09
b'22'	22796000	22837000	1123	9.041578433009622e-09
b'22'	22837000	22878000	1111	8.993365240722684e-09
b'22'	22878000	22919000	1035	8.859962175359414e-09
b'22'	22919000	22960000	1126	8.715614307989378e-09
b'22'	22960000	23001000	907	4.115997357582441e-12
b'22'	23001000	23042000	941	6.172033876143411e-10
b'22'	23042000	23083000	1107	7.391714431535926e-09
b'22'	23083000	23124000	1028	4.959110663284898e-09
b'22'	23124000	23165000	1003	3.894347207263642e-09
b'22'	23165000	23206000	1173	4.767719618678511e-09
b'22'	23206000	23247000	922	2.013406482018252e-09
b'22'	23247000	23288000	962	1.6200125862444175e-09
b'22'	23288000	23329000	1284	4.21422962092402e-09
b'22'	23329000	23370000	1577	3.347134206564363e-09
b'22'	23370000	23411000	1038	8.693480634614918e-09
b'22'	23411000	23452000	1136	8.852171633254736e-09
b'22'	23452000	23493000	1059	8.609812829165633e-09
b'22'	23493000	23534000	1000	7.727015849398652e-09
b'22'	23534000	23575000	1125	8.969852420110744e-09
